Lead Origin,Lead Source,Do Not Email,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Specialization,What is your current occupation,City,A free copy of Mastering The Interview,Last Notable Activity,lead_score,actual_converted,assigned_rep
Lead Add Form,Reference,Yes,1,0.0,0,0.0,SMS Sent,Human Resource Management,Working Professional,Mumbai,No,SMS Sent,0.8294450711941743,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1640,4.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Email Opened,0.8290075194576733,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,1.0,145,1.0,Email Opened,E-COMMERCE,Working Professional,Mumbai,Yes,Email Opened,0.8282203588321744,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,0,4.0,1376,4.0,SMS Sent,Supply Chain Management,Unemployed,Mumbai,Yes,SMS Sent,0.8267336576333096,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,9.0,1390,4.5,SMS Sent,Marketing Management,Unemployed,Mumbai,Yes,SMS Sent,0.8262886783511824,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,3.0,1298,3.0,SMS Sent,Supply Chain Management,Unemployed,Mumbai,Yes,SMS Sent,0.8262197311792097,1,Rep_A (Top Closer)
API,Direct Traffic,No,1,13.0,1409,2.6,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.8256059720210395,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,4.0,1623,4.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Email Opened,0.8242011116901914,0,Rep_A (Top Closer)
API,Google,No,1,4.0,1245,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.8233307497293488,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Email Opened,0.8229051201082839,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Email Opened,0.8229051201082839,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Email Opened,0.8229051201082839,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Email Opened,0.8229051201082839,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Email Opened,0.8229051201082839,1,Rep_A (Top Closer)
API,Google,No,1,2.0,1257,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.8228474813150912,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1628,2.0,Email Opened,Human Resource Management,Unemployed,Mumbai,No,Email Opened,0.8223971265162621,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1146,2.0,SMS Sent,Marketing Management,Unemployed,Other Metro Cities,Yes,SMS Sent,0.8215750750926529,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,3.0,1052,3.0,Email Opened,IT Projects Management,Working Professional,Mumbai,No,Email Opened,0.8213847165890755,1,Rep_A (Top Closer)
API,Olark Chat,No,0,3.0,1315,1.5,Olark Chat Conversation,Finance Management,Unemployed,Other Metro Cities,Yes,Olark Chat Conversation,0.8193240578136372,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,6.0,1317,6.0,SMS Sent,Marketing Management,Unemployed,Mumbai,No,SMS Sent,0.8189809104930714,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1677,2.0,Email Opened,Human Resource Management,Unemployed,Other Cities,Yes,Modified,0.818936745610529,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,2.0,1552,2.0,Converted to Lead,Marketing Management,Unemployed,Mumbai,No,Modified,0.8186233522140445,0,Rep_A (Top Closer)
API,Direct Traffic,No,1,11.0,1411,1.38,Email Opened,Human Resource Management,Working Professional,Mumbai,No,Email Opened,0.8179278310803302,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,2.0,849,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.8178825696341946,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Link Clicked,Finance Management,Working Professional,Mumbai,No,Email Link Clicked,0.8171866959317982,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,4.0,1559,4.0,Email Opened,Human Resource Management,Unemployed,Thane & Outskirts,No,Modified,0.8160395368123553,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1553,4.0,Email Opened,"Banking, Investment And Insurance",Unemployed,Other Cities of Maharashtra,No,Email Opened,0.8153795397227052,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,10.0,1250,10.0,SMS Sent,Operations Management,Unemployed,Other Cities of Maharashtra,Yes,SMS Sent,0.8151327895738822,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,4.0,1078,4.0,SMS Sent,Media and Advertising,Unemployed,Thane & Outskirts,Yes,SMS Sent,0.8131587805699088,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,5.0,933,5.0,SMS Sent,IT Projects Management,Working Professional,Mumbai,Yes,SMS Sent,0.8119379821904017,1,Rep_A (Top Closer)
API,Google,No,1,2.0,1214,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.8101421551497958,1,Rep_A (Top Closer)
API,Google,No,1,4.0,1088,4.0,Page Visited on Website,Supply Chain Management,Working Professional,Mumbai,No,Modified,0.8099992799565282,1,Rep_A (Top Closer)
API,Organic Search,No,1,3.0,954,3.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.8099567703143437,1,Rep_A (Top Closer)
API,Olark Chat,No,1,2.0,992,1.0,SMS Sent,Operations Management,Unemployed,Other Metro Cities,Yes,SMS Sent,0.8098121733505336,1,Rep_A (Top Closer)
Lead Add Form,Reference,Yes,1,3.0,1216,2.0,Email Bounced,Finance Management,Unemployed,Mumbai,No,Modified,0.8098032330737605,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1239,2.0,SMS Sent,Business Administration,Unemployed,Other Cities of Maharashtra,Yes,Modified,0.8063013312357756,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,0,3.0,1095,3.0,SMS Sent,Finance Management,Unemployed,Other Metro Cities,No,Modified,0.806066009518652,0,Rep_A (Top Closer)
Lead Import,Facebook,No,0,3.0,214,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,Modified,0.8060363014658692,0,Rep_A (Top Closer)
API,Google,No,1,2.0,1196,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.8046203083468041,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,2.0,906,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,Modified,0.80206156534823,0,Rep_A (Top Closer)
API,Google,No,1,4.0,1483,2.0,Had a Phone Conversation,Supply Chain Management,Unemployed,Other Cities,No,Had a Phone Conversation,0.8000466679485908,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,0,5.0,1099,2.5,SMS Sent,Human Resource Management,Unemployed,Other Metro Cities,Yes,SMS Sent,0.7997577189883212,0,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,7.0,1172,3.5,SMS Sent,Marketing Management,Unemployed,Mumbai,Yes,Modified,0.7993124953237104,0,Rep_A (Top Closer)
Lead Import,Facebook,No,0,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Other Cities of Maharashtra,No,Modified,0.7987687791310938,0,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,3.0,829,3.0,Email Opened,Media and Advertising,Working Professional,Mumbai,Yes,Email Opened,0.7983329164906889,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,849,4.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Thane & Outskirts,No,SMS Sent,0.7972344275042725,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,266,2.0,Email Opened,Supply Chain Management,Unemployed,Mumbai,No,Modified,0.7957157527372107,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,3.0,1451,3.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Email Opened,0.7951181845400246,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,3.0,1202,3.0,SMS Sent,Marketing Management,Unemployed,Mumbai,Yes,SMS Sent,0.7946821514775196,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1735,2.0,Email Opened,"Banking, Investment And Insurance",Unemployed,Mumbai,Yes,Email Opened,0.7932536941101245,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,6.0,1030,3.0,Page Visited on Website,International Business,Unemployed,Mumbai,No,Modified,0.7912654442500727,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,7.0,1762,1.4,Olark Chat Conversation,Finance Management,Student,Mumbai,Yes,Olark Chat Conversation,0.7904811541105021,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1340,2.0,Email Link Clicked,Human Resource Management,Unemployed,Mumbai,No,Modified,0.7896369123119584,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,12.0,1117,2.4,Page Visited on Website,Supply Chain Management,Unemployed,Mumbai,Yes,Modified,0.789578677054904,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,Yes,1,2.0,1645,2.0,SMS Sent,Human Resource Management,Unemployed,Mumbai,No,SMS Sent,0.7891232913075068,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,4.0,754,2.0,Page Visited on Website,International Business,Working Professional,Other Cities,Yes,Page Visited on Website,0.7878516345434678,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,0,3.0,491,3.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.7871009805665984,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,7.0,1058,1.75,SMS Sent,Business Administration,Unemployed,Mumbai,Yes,SMS Sent,0.7864340877729046,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,0,2.0,1223,2.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,Mumbai,Yes,Modified,0.7862781083441064,0,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,3.0,1264,3.0,Email Opened,IT Projects Management,Unemployed,Other Cities of Maharashtra,No,Modified,0.7862647035530345,1,Rep_A (Top Closer)
API,Organic Search,No,0,5.0,1030,5.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.7856803030954033,0,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,0,9.0,1211,3.0,Email Opened,Healthcare Management,Unemployed,Other Cities,Yes,Email Opened,0.7846255085050005,0,Rep_A (Top Closer)
Lead Add Form,Welingak Website,Yes,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.7840786434711099,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,Yes,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.7840786434711099,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,1.0,288,1.0,Email Link Clicked,E-Business,Unemployed,Mumbai,No,Modified,0.7836058935093729,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Human Resource Management,Unemployed,Thane & Outskirts,No,Modified,0.7817826200434348,1,Rep_A (Top Closer)
API,Olark Chat,No,0,17.0,869,1.21,Page Visited on Website,Finance Management,Unemployed,Mumbai,No,Page Visited on Website,0.781761163176701,0,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Hospitality Management,Unemployed,Thane & Outskirts,No,Modified,0.7813185828933948,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,10.0,877,3.33,Page Visited on Website,Human Resource Management,Unemployed,Other Metro Cities,No,Page Visited on Website,0.7801848848614594,0,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,5.0,934,2.5,SMS Sent,Marketing Management,Unemployed,Mumbai,Yes,SMS Sent,0.779812577373658,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,0,2.0,1680,2.0,Email Opened,Marketing Management,Unemployed,Mumbai,Yes,Email Opened,0.7795992222456939,0,Rep_A (Top Closer)
Lead Import,Facebook,No,1,0.0,0,0.0,Email Opened,Business Administration,Working Professional,Mumbai,No,Email Opened,0.7788805763914076,1,Rep_A (Top Closer)
API,Organic Search,No,1,4.0,763,2.0,SMS Sent,Human Resource Management,Unemployed,Mumbai,No,SMS Sent,0.7787465544218152,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,3.0,1089,3.0,SMS Sent,Human Resource Management,Unemployed,Other Metro Cities,Yes,SMS Sent,0.7783664036646295,1,Rep_A (Top Closer)
API,Google,No,1,3.0,1190,3.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.7778711449578346,1,Rep_A (Top Closer)
API,Olark Chat,No,0,3.0,1031,1.5,Page Visited on Website,Business Administration,Unemployed,Mumbai,No,Modified,0.7761389381226016,0,Rep_A (Top Closer)
API,Google,No,1,2.0,1019,1.0,SMS Sent,IT Projects Management,Unemployed,Mumbai,No,SMS Sent,0.7757229390683106,1,Rep_A (Top Closer)
API,Google,No,1,2.0,1105,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.7748514396657935,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1276,4.0,SMS Sent,Finance Management,Student,Other Metro Cities,No,SMS Sent,0.7741262147167424,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1234,1.33,Email Opened,Human Resource Management,Unemployed,Mumbai,No,Email Opened,0.7726172135853578,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,2.0,1288,2.0,Email Opened,Travel and Tourism,Unemployed,Mumbai,No,Email Opened,0.7720862256907421,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,0,2.0,949,2.0,SMS Sent,Human Resource Management,Unemployed,Tier II Cities,Yes,SMS Sent,0.7719789482058061,0,Rep_A (Top Closer)
Lead Add Form,Welingak Website,No,1,0.0,0,0.0,Email Link Clicked,Finance Management,Unemployed,Mumbai,No,Email Link Clicked,0.7709091099895591,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,2.0,1458,1.0,Email Bounced,Marketing Management,Unemployed,Mumbai,Yes,Modified,0.7708035346395639,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,0,2.0,1107,2.0,Email Opened,Marketing Management,Working Professional,Other Metro Cities,Yes,Email Opened,0.7707885290656398,0,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,0,3.0,599,3.0,SMS Sent,Retail Management,Unemployed,Other Cities,Yes,SMS Sent,0.7702272777735426,0,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Operations Management,Unemployed,Other Cities of Maharashtra,No,Modified,0.7686025145712178,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,5.0,1297,2.5,Email Opened,Travel and Tourism,Unemployed,Mumbai,No,Email Opened,0.7678977956301184,1,Rep_A (Top Closer)
Lead Import,Facebook,No,0,3.0,93,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,Modified,0.7659822835490124,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,2.0,1017,2.0,SMS Sent,Human Resource Management,Unemployed,Other Cities,Yes,SMS Sent,0.7640812307064427,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,2.0,678,2.0,SMS Sent,Hospitality Management,Unemployed,Mumbai,No,SMS Sent,0.7631762751623586,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,3.0,182,2.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.7615884576097948,1,Rep_A (Top Closer)
API,Google,No,1,5.0,1143,1.25,Page Visited on Website,Finance Management,Unemployed,Mumbai,No,Page Visited on Website,0.7597834390845246,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,0,2.0,1198,2.0,Page Visited on Website,Human Resource Management,Unemployed,Other Cities of Maharashtra,Yes,Modified,0.7588743935330768,0,Rep_A (Top Closer)
API,Organic Search,No,1,6.0,1028,6.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.7585688944384688,1,Rep_A (Top Closer)
Landing Page Submission,Google,Yes,1,4.0,1452,4.0,SMS Sent,Healthcare Management,Unemployed,Thane & Outskirts,No,SMS Sent,0.7581158517073403,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Human Resource Management,Unemployed,Other Cities,No,Modified,0.7580885070016621,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,4.0,985,2.0,SMS Sent,Healthcare Management,Unemployed,Other Cities,Yes,SMS Sent,0.7565055377421801,1,Rep_A (Top Closer)
API,Organic Search,No,0,3.0,1392,3.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Email Opened,0.755928351701919,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,3.0,1101,3.0,SMS Sent,Business Administration,Unemployed,Mumbai,Yes,SMS Sent,0.7557797447275395,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,5.0,653,2.5,SMS Sent,Human Resource Management,Unemployed,Other Cities,No,SMS Sent,0.7552457128692932,1,Rep_A (Top Closer)
API,Google,No,0,4.0,1264,4.0,Email Opened,Operations Management,Working Professional,Other Cities of Maharashtra,No,Email Opened,0.7544755268260053,0,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,3.0,1321,3.0,Email Opened,Marketing Management,Unemployed,Mumbai,No,Email Opened,0.7532303041740547,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,6.0,1040,6.0,Email Opened,Operations Management,Working Professional,Other Cities,No,Email Opened,0.7515165444966211,1,Rep_A (Top Closer)
API,Google,No,1,2.0,1240,1.0,Form Submitted on Website,IT Projects Management,Unemployed,Thane & Outskirts,No,Modified,0.7507122893763821,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,9.0,1233,4.5,Email Opened,IT Projects Management,Unemployed,Other Cities,Yes,Email Opened,0.7500180396098628,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Human Resource Management,Unemployed,Mumbai,No,Modified,0.7498118898862935,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,2.0,765,2.0,Email Opened,Business Administration,Working Professional,Mumbai,No,Email Opened,0.7485428229560113,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.7482791505778287,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.7482791505778287,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.7482791505778287,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.7482791505778287,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.7482791505778287,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,4.0,562,4.0,SMS Sent,Travel and Tourism,Unemployed,Other Metro Cities,Yes,SMS Sent,0.7477086581449901,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,3.0,1372,3.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.7473456626473383,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Business Administration,Unemployed,Mumbai,No,Modified,0.7467401928156038,1,Rep_A (Top Closer)
Lead Add Form,Google,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Thane & Outskirts,No,SMS Sent,0.7460141804944492,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,1,11.0,1054,2.75,Email Opened,Rural and Agribusiness,Unemployed,Other Cities,Yes,Email Opened,0.7456441412061007,1,Rep_A (Top Closer)
Lead Add Form,Welingak Website,Yes,0,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,Modified,0.7454164486716754,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,10.0,744,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,SMS Sent,0.7449597091064353,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Media and Advertising,Unemployed,Thane & Outskirts,No,Email Opened,0.7449154737892947,1,Rep_A (Top Closer)
API,Google,No,1,7.0,1524,1.4,Email Opened,Retail Management,Unemployed,Mumbai,No,Email Opened,0.7444816392757436,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Marketing Management,Unemployed,Thane & Outskirts,No,Email Opened,0.7443986708636346,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Marketing Management,Unemployed,Thane & Outskirts,No,Email Opened,0.7443986708636346,1,Rep_A (Top Closer)
Landing Page Submission,Organic Search,No,0,3.0,560,3.0,SMS Sent,Travel and Tourism,Unemployed,Thane & Outskirts,Yes,Modified,0.7430931096180218,0,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,4.0,1070,4.0,SMS Sent,E-COMMERCE,Unemployed,Other Metro Cities,Yes,SMS Sent,0.7422187211817818,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,Thane & Outskirts,No,Email Opened,0.7412834445812987,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,5.0,1436,5.0,Email Opened,Media and Advertising,Unemployed,Mumbai,No,Email Opened,0.7397982624189501,1,Rep_A (Top Closer)
API,Organic Search,No,1,4.0,816,4.0,SMS Sent,Marketing Management,Unemployed,Mumbai,No,SMS Sent,0.7395285336997572,1,Rep_A (Top Closer)
API,Google,No,0,2.0,1607,2.0,Email Link Clicked,Finance Management,Unemployed,Mumbai,No,Modified,0.7394547531626702,0,Rep_A (Top Closer)
Landing Page Submission,Google,No,0,2.0,1007,2.0,Email Opened,Marketing Management,Unemployed,Thane & Outskirts,No,Modified,0.7389530015315531,0,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,5.0,1234,2.5,Email Opened,Finance Management,Unemployed,Mumbai,No,Email Opened,0.7382447892971169,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1266,4.0,Email Opened,Marketing Management,Unemployed,Thane & Outskirts,No,Email Opened,0.7380014780046631,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,6.0,1104,6.0,SMS Sent,IT Projects Management,Unemployed,Mumbai,Yes,SMS Sent,0.737836699791521,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,2.0,240,2.0,SMS Sent,Finance Management,Working Professional,Mumbai,No,Modified,0.7371773413844336,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,1237,4.0,SMS Sent,Finance Management,Student,Mumbai,No,SMS Sent,0.7351608862548896,1,Rep_A (Top Closer)
Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Human Resource Management,Unemployed,Other Metro Cities,No,Email Opened,0.7342288126171109,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,3.0,1321,1.5,Email Opened,Supply Chain Management,Unemployed,Other Metro Cities,Yes,Modified,0.7341866107536281,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,4.0,701,4.0,SMS Sent,Human Resource Management,Unemployed,Other Cities of Maharashtra,No,SMS Sent,0.7324185308298223,1,Rep_A (Top Closer)
Landing Page Submission,Direct Traffic,No,1,3.0,1049,3.0,Unreachable,Supply Chain Management,Unemployed,Other Cities,Yes,Modified,0.731989208282174,1,Rep_A (Top Closer)
Landing Page Submission,Google,No,1,3.0,170,3.0,SMS Sent,Supply Chain Management,Working Professional,Mumbai,No,SMS Sent,0.7292599476552748,1,Rep_A (Top Closer)
API,Google,No,1,2.0,1137,2.0,Page Visited on Website,Finance Management,Unemployed,Mumbai,No,Page Visited on Website,0.7263800659012141,1,Rep_B
Lead Import,Facebook,No,0,3.0,345,2.0,Email Opened,Finance Management,Unemployed,Other Cities,No,Modified,0.72607090768896,0,Rep_C
Landing Page Submission,Google,No,0,3.0,828,3.0,SMS Sent,E-COMMERCE,Unemployed,Other Cities,Yes,SMS Sent,0.7255538786725103,0,Rep_D
API,Google,No,1,2.0,1080,2.0,SMS Sent,Finance Management,Unemployed,Mumbai,No,Modified,0.7253810311259206,1,Rep_B
Landing Page Submission,Google,No,1,3.0,176,3.0,SMS Sent,Finance Management,Working Professional,Mumbai,No,SMS Sent,0.7251377528499324,1,Rep_C
Landing Page Submission,Google,No,1,4.0,847,4.0,Email Opened,Human Resource Management,Working Professional,Mumbai,No,Email Opened,0.7247908020498077,1,Rep_D
Landing Page Submission,Direct Traffic,No,0,13.0,936,3.25,Page Visited on Website,Finance Management,Unemployed,Mumbai,No,Page Visited on Website,0.7238661720288904,0,Rep_B
Landing Page Submission,Google,Yes,1,4.0,1452,4.0,SMS Sent,Supply Chain Management,Unemployed,Thane & Outskirts,No,Modified,0.7225195336340412,1,Rep_C
Landing Page Submission,Google,No,1,4.0,719,4.0,SMS Sent,Human Resource Management,Unemployed,Mumbai,No,SMS Sent,0.7217579885457945,1,Rep_D
Landing Page Submission,Google,No,1,2.0,1139,2.0,Email Opened,Marketing Management,Unemployed,Other Cities,No,Email Opened,0.7214752424978088,1,Rep_B
Landing Page Submission,Organic Search,No,0,6.0,1189,6.0,Email Opened,Media and Advertising,Unemployed,Other Cities,Yes,Modified,0.7209513712492858,0,Rep_C
API,Google,No,0,2.0,1450,2.0,Email Opened,Finance Management,Unemployed,Mumbai,No,Modified,0.7208108453941738,0,Rep_D
Landing Page Submission,Organic Search,No,1,4.0,1104,4.0,Email Opened,Hospitality Management,Unemployed,Other Metro Cities,Yes,Email Opened,0.7195935653724774,1,Rep_B
API,Google,No,0,3.0,1188,3.0,Page Visited on Website,International Business,Unemployed,Mumbai,No,Page Visited on Website,0.7191489626780223,0,Rep_C
Lead Add Form,Reference,No,1,0.0,0,0.0,Form Submitted on Website,Human Resource Management,Unemployed,Mumbai,Yes,Modified,0.7176019668785905,1,Rep_D
Landing Page Submission,Google,No,0,5.0,740,2.5,Page Visited on Website,Human Resource Management,Unemployed,Mumbai,No,Page Visited on Website,0.7172963435129939,0,Rep_B
Landing Page Submission,Organic Search,No,1,4.0,3,4.0,SMS Sent,Travel and Tourism,Working Professional,Other Metro Cities,Yes,SMS Sent,0.7169994858482034,1,Rep_C
API,Google,No,0,2.0,1218,2.0,Olark Chat Conversation,Finance Management,Unemployed,Mumbai,No,Modified,0.7152354690347382,0,Rep_D
Landing Page Submission,Organic Search,No,0,7.0,229,3.5,SMS Sent,Media and Advertising,Unemployed,Other Metro Cities,No,SMS Sent,0.7141585284820389,0,Rep_B
API,Organic Search,No,1,8.0,234,4.0,SMS Sent,Travel and Tourism,Working Professional,Mumbai,No,SMS Sent,0.713890150075658,1,Rep_C
